邊緣運算  ㄅㄧㄢˉㄩㄢˊㄩㄣˋㄙㄨㄢˋ
避障控制模組  ㄅㄧˋㄓㄤˋㄎㄨㄥˋㄓˋㄇㄛˊㄗㄨˇ
自動導引車  ㄗˋㄉㄨㄥˋㄉㄠˇㄧㄣˇㄔㄜˉ
自主移動機器人  ㄗˋㄓㄨˇㄧˊㄉㄨㄥˋㄐㄧˉㄑㄧˋㄖㄣˊ
無人機地面站  ㄨˊㄖㄣˊㄐㄧˉㄉㄧˋㄇㄧㄢˋㄓㄢˋ
圖傳系統延遲  ㄊㄨˊㄔㄨㄢˊㄒㄧˋㄊㄨㄥˇㄧㄢˊㄔˊ
通訊鏈路冗餘  ㄊㄨㄥˉㄒㄩㄣˋㄌㄧㄢˋㄌㄨˋㄖㄨㄥˇㄩˊ
遙測數據收集  ㄧㄠˊㄘㄜˋㄕㄨˋㄐㄩˋㄕㄡˉㄐㄧˊ
邊緣推論節點  ㄅㄧㄢˉㄩㄢˊㄊㄨㄟˉㄌㄨㄣˋㄐㄧㄝˊㄉㄧㄢˇ
邊緣智慧閘道  ㄅㄧㄢˉㄩㄢˊㄓˋㄏㄨㄟˋㄓㄚˊㄉㄠˋ
工業物聯網協定  ㄍㄨㄥˉㄧㄝˋㄨˋㄌㄧㄢˊㄨㄤˇㄒㄧㄝˊㄉㄧㄥˋ
工業自動化控制器  ㄍㄨㄥˉㄧㄝˋㄗˋㄉㄨㄥˋㄏㄨㄚˋㄎㄨㄥˋㄓˋㄑㄧˋ
可程式化邏輯控制器  ㄎㄜˇㄔㄥˊㄕˋㄏㄨㄚˋㄌㄨㄛˊㄐㄧˊㄎㄨㄥˋㄓˋㄑㄧˋ
分散式控制系統  ㄈㄣˉㄙㄢˋㄕˋㄎㄨㄥˋㄓˋㄒㄧˋㄊㄨㄥˇ
現場總線通訊  ㄒㄧㄢˋㄔㄤˇㄗㄨㄥˇㄒㄧㄢˋㄊㄨㄥˉㄒㄩㄣˋ
製程自動化監控  ㄓˋㄔㄥˊㄗˋㄉㄨㄥˋㄏㄨㄚˋㄐㄧㄢˉㄎㄨㄥˋ
機台聯網整合  ㄐㄧˉㄊㄞˊㄌㄧㄢˊㄨㄤˇㄓㄥˇㄏㄜˊ
廠務監控系統  ㄔㄤˇㄨˋㄐㄧㄢˉㄎㄨㄥˋㄒㄧˋㄊㄨㄥˇ
故障預測診斷  ㄍㄨˋㄓㄤˋㄩˋㄘㄜˋㄓㄣˇㄉㄨㄢˋ
預防性保養排程  ㄩˋㄈㄤˊㄒㄧㄥˋㄅㄠˇㄧㄤˇㄆㄞˊㄔㄥˊ
設備綜合效率  ㄕㄜˋㄅㄟˋㄗㄨㄥˋㄏㄜˊㄒㄧㄠˋㄌㄩˋ
產能稼動率  ㄔㄢˇㄋㄥˊㄐㄧㄚˋㄉㄨㄥˋㄌㄩˋ
生產節拍分析  ㄕㄥˉㄔㄢˇㄐㄧㄝˊㄆㄞˉㄈㄣˉㄒㄧˉ
看板管理系統  ㄎㄢˋㄅㄢˇㄍㄨㄢˇㄌㄧˇㄒㄧˋㄊㄨㄥˇ
拉動式生產  ㄌㄚˉㄉㄨㄥˋㄕˋㄕㄥˉㄔㄢˇ
防呆機制設計  ㄈㄤˊㄉㄞˉㄐㄧˉㄓˋㄕㄜˋㄐㄧˋ
精實生產流程  ㄐㄧㄥˉㄕˊㄕㄥˉㄔㄢˇㄌㄧㄡˊㄔㄥˊ
價值流程圖分析  ㄐㄧㄚˋㄓˊㄌㄧㄡˊㄔㄥˊㄊㄨˊㄈㄣˉㄒㄧˉ
看板卡管理  ㄎㄢˋㄅㄢˇㄎㄚˇㄍㄨㄢˇㄌㄧˇ
豐田生產方式  ㄈㄥˉㄊㄧㄢˊㄕㄥˉㄔㄢˇㄈㄤˉㄕˋ
零庫存策略  ㄌㄧㄥˊㄎㄨˋㄘㄨㄣˊㄘㄜˋㄌㄩㄝˋ
準時制生產  ㄓㄨㄣˇㄕˊㄓˋㄕㄥˉㄔㄢˇ
生產批量最佳化  ㄕㄥˉㄔㄢˇㄆㄧˉㄌㄧㄤˋㄗㄨㄟˋㄐㄧㄚˉㄏㄨㄚˋ
快速換模技術  ㄎㄨㄞˋㄙㄨˋㄏㄨㄢˋㄇㄛˊㄐㄧˋㄕㄨˋ
單分鐘整模  ㄉㄢˉㄈㄣˉㄓㄨㄥˉㄓㄥˇㄇㄛˊ
瓶頸工序改善  ㄆㄧㄥˊㄐㄧㄥˇㄍㄨㄥˉㄒㄩˋㄍㄞˇㄕㄢˋ
工時量測分析  ㄍㄨㄥˉㄕˊㄌㄧㄤˋㄘㄜˋㄈㄣˉㄒㄧˉ
動作經濟原則  ㄉㄨㄥˋㄗㄨㄛˋㄐㄧㄥˉㄐㄧˋㄩㄢˊㄗㄜˊ
人機配置最佳化  ㄖㄣˊㄐㄧˉㄆㄟˋㄓˋㄗㄨㄟˋㄐㄧㄚˉㄏㄨㄚˋ
產線平衡率  ㄔㄢˇㄒㄧㄢˋㄆㄧㄥˊㄏㄥˊㄌㄩˋ
稼動損失分析  ㄐㄧㄚˋㄉㄨㄥˋㄙㄨㄣˇㄕˉㄈㄣˉㄒㄧˉ
停機工時統計  ㄊㄧㄥˊㄐㄧˉㄍㄨㄥˉㄕˊㄊㄨㄥˇㄐㄧˋ
良率提升對策  ㄌㄧㄤˊㄌㄩˋㄊㄧˊㄕㄥˉㄉㄨㄟˋㄘㄜˋ
不良品再加工  ㄅㄨˋㄌㄧㄤˊㄆㄧㄣˇㄗㄞˋㄐㄧㄚˉㄍㄨㄥˉ
製程能力指標  ㄓˋㄔㄥˊㄋㄥˊㄌㄧˋㄓˇㄅㄧㄠˉ
變異係數分析  ㄅㄧㄢˋㄧˋㄒㄧˋㄕㄨˋㄈㄣˉㄒㄧˉ
管制作圖判讀  ㄍㄨㄢˇㄓˋㄗㄨㄛˋㄊㄨˊㄆㄢˋㄉㄨˊ
常態分配檢定  ㄔㄤˊㄊㄞˋㄈㄣˉㄆㄟˋㄐㄧㄢˇㄉㄧㄥˋ
顯著性差異  ㄒㄧㄢˇㄓㄨˋㄒㄧㄥˋㄔㄚˋㄧˋ
假設檢定流程  ㄐㄧㄚˇㄕㄜˋㄐㄧㄢˇㄉㄧㄥˋㄌㄧㄡˊㄔㄥˊ
信賴區間估計  ㄒㄧㄣˋㄌㄞˋㄑㄩˉㄐㄧㄢˉㄍㄨˉㄐㄧˋ
迴歸模型分析  ㄏㄨㄟˊㄍㄨㄟˉㄇㄛˊㄒㄧㄥˊㄈㄣˉㄒㄧˉ
變異數分析法  ㄅㄧㄢˋㄧˋㄕㄨˋㄈㄣˉㄒㄧˉㄈㄚˇ
抽樣檢驗計畫  ㄔㄡˉㄧㄤˋㄐㄧㄢˇㄧㄢˋㄐㄧˋㄏㄨㄚˋ
計數型抽樣  ㄐㄧˋㄕㄨˋㄒㄧㄥˊㄔㄡˉㄧㄤˋ
計量型抽樣  ㄐㄧˋㄌㄧㄤˋㄒㄧㄥˊㄔㄡˉㄧㄤˋ
全數檢驗流程  ㄑㄩㄢˊㄕㄨˋㄐㄧㄢˇㄧㄢˋㄌㄧㄡˊㄔㄥˊ
出貨檢驗標準  ㄔㄨˉㄏㄨㄛˋㄐㄧㄢˇㄧㄢˋㄅㄧㄠˉㄓㄨㄣˇ
進料檢驗程序  ㄐㄧㄣˋㄌㄧㄠˋㄐㄧㄢˇㄧㄢˋㄔㄥˊㄒㄩˋ
製程中檢驗  ㄓˋㄔㄥˊㄓㄨㄥˉㄐㄧㄢˇㄧㄢˋ
最後檢驗規範  ㄗㄨㄟˋㄏㄡˋㄐㄧㄢˇㄧㄢˋㄍㄨㄟˉㄈㄢˋ
不合格品管制  ㄅㄨˋㄏㄜˊㄍㄜˊㄆㄧㄣˇㄍㄨㄢˇㄓˋ
矯正與預防措施  ㄐㄧㄠˇㄓㄥˋㄩˇㄩˋㄈㄤˊㄘㄨㄛˋㄕˉ
內部品質稽核  ㄋㄟˋㄅㄨˋㄆㄧㄣˇㄓˊㄐㄧˉㄏㄜˊ
外部驗證稽核  ㄨㄞˋㄅㄨˋㄧㄢˋㄓㄥˋㄐㄧˉㄏㄜˊ
管理審查會議  ㄍㄨㄢˇㄌㄧˇㄕㄣˇㄔㄚˊㄏㄨㄟˋㄧˋ
品質政策宣導  ㄆㄧㄣˇㄓˊㄓㄥˋㄘㄜˋㄒㄩㄢˉㄉㄠˇ
品保系統認證  ㄆㄧㄣˇㄅㄠˇㄒㄧˋㄊㄨㄥˇㄖㄣˋㄓㄥˋ
客戶滿意度調查  ㄎㄜˋㄏㄨˋㄇㄢˇㄧˋㄉㄨˋㄉㄧㄠˋㄔㄚˊ
客戶抱怨處理  ㄎㄜˋㄏㄨˋㄅㄠˋㄩㄢˋㄔㄨˋㄌㄧˇ
客訴根本原因  ㄎㄜˋㄙㄨˋㄍㄣˉㄅㄣˇㄩㄢˊㄧㄣˉ
八步驟問題解決法  ㄅㄚˉㄅㄨˋㄓㄡˋㄨㄣˋ⼠ㄧˊㄐㄧㄝˇㄐㄩㄝˊㄈㄚˇ
五個為什麼分析  ㄨˇㄍㄜˋㄨㄟˋㄕㄣˊ˙ㄇㄜㄈㄣˉㄒㄧˉ
特性要因圖分析  ㄊㄜˋㄒㄧㄥˋㄧㄠˋㄧㄣˉㄊㄨˊㄈㄣˉㄒㄧˉ
柏拉圖重點分析  ㄅㄞˇㄌㄚˉㄊㄨˊㄓㄨㄥˋㄉㄧㄢˇㄈㄣˉㄒㄧˉ
查檢表設計  ㄔㄚˊㄐㄧㄢˇㄅㄧㄠˇㄕㄜˋㄐㄧˋ
散佈圖關聯分析  ㄙㄢˋㄅㄨˋㄊㄨˊㄍㄨㄢˉㄌㄧㄢˊㄈㄣˉㄒㄧˉ
直方圖分布分析  ㄓˊㄈㄤˉㄊㄨˊㄈㄣˉㄅㄨˋㄈㄣˉㄒㄧˉ
層別法解析  ㄘㄥˊㄅㄧㄝˊㄈㄚˇㄐㄧㄝˇㄒㄧˉ
品管七大手法  ㄆㄧㄣˇㄍㄨㄢˇㄑㄧˉㄉㄚˋㄕㄡˇㄈㄚˇ
新品管七大手法  ㄒㄧㄣˉㄆㄧㄣˇㄍㄨㄢˇㄑㄧˉㄉㄚˋㄕㄡˇㄈㄚˇ
親和圖分析法  ㄑㄧㄣˉㄏㄜˊㄊㄨˊㄈㄣˉㄒㄧˉㄈㄚˇ
關聯圖解析  ㄍㄨㄢˉㄌㄧㄢˊㄊㄨˊㄐㄧㄝˇㄒㄧˉ
系統圖法展延  ㄒㄧˋㄊㄨㄥˇㄊㄨˊㄈㄚˇㄓㄢˇㄧㄢˊ
矩陣圖法分析  ㄐㄩˇㄓㄣˋㄊㄨˊㄈㄚˇㄈㄣˉㄒㄧˉ
矩陣數據分析法  ㄐㄩˇㄓㄣˋㄕㄨˋㄐㄩˋㄈㄣˉㄒㄧˉㄈㄚˇ
箭線圖排程  ㄐㄧㄢˋㄒㄧㄢˋㄊㄨˊㄆㄞˊㄔㄥˊ
過程決定計畫圖  ㄍㄨㄛˋㄔㄥˊㄐㄩㄝˊㄉㄧㄥˋㄐㄧˋㄏㄨㄚˋㄊㄨˊ
失效模式分析  ㄕˉㄒㄧㄠˋㄇㄛˊㄕˋㄈㄣˉㄒㄧˉ
嚴重度評估  ㄧㄢˊㄓㄨㄥˋㄉㄨˋㄆㄧㄥˊㄍㄨˉ
發生度指標  ㄈㄚˉㄕㄥˉㄉㄨˋㄓˇㄅㄧㄠˉ
難檢度係數  ㄋㄢˊㄐㄧㄢˇㄉㄨˋㄒㄧˋㄕㄨˋ
風險優先指數  ㄈㄥˉㄒㄧㄢˇㄧㄡˉㄒㄧㄢˉㄓˇㄕㄨˋ
關鍵特性管制  ㄍㄨㄢˉㄐㄧㄢˋㄊㄜˋㄒㄧㄥˋㄍㄨㄢˇㄓˋ
管制計畫表  ㄍㄨㄢˇㄓˋㄐㄧˋㄏㄨㄚˋㄅㄧㄠˇ
作業標準書  ㄗㄨㄛˋㄧㄝˋㄅㄧㄠˉㄓㄨㄣˇㄕㄨˉ
檢驗規範書  ㄐㄧㄢˇㄧㄢˋㄍㄨㄟˉㄈㄢˋㄕㄨˉ
包裝作業手冊  ㄅㄠˉㄓㄨㄤˉㄗㄨㄛˋㄧㄝˋㄕㄡˇㄘㄜˋ
出貨標準流程  ㄔㄨˉㄏㄨㄛˋㄅㄧㄠˉㄓㄨㄣˇㄌㄧㄡˊㄔㄥˊ
倉儲儲位管理  ㄘㄤˉㄔㄨˇㄔㄨˇㄨㄟˋㄍㄨㄢˇㄌㄧˇ
先進先出原則  ㄒㄧㄢˉㄐㄧㄣˋㄒㄧㄢˉㄔㄨˉㄩㄢˊㄗㄜˊ
棧板堆疊規範  ㄓㄢˋㄅㄢˇㄉㄨㄟˉㄉㄧㄝˊㄍㄨㄟˉㄈㄢˋ
包材耐衝擊測試  ㄅㄠˉㄘㄞˊㄋㄞˋㄔㄨㄥˉㄐㄧˊㄘㄜˋㄕˋ
跌落撞擊試驗  ㄉㄧㄝˉㄌㄨㄛˋㄓㄨㄤˋㄐㄧˊㄕˋㄧㄢˋ
防震包裝設計  ㄈㄤˊㄓㄣˋㄅㄠˉㄓㄨㄤˉㄕㄜˋㄐㄧˋ
防潮除濕規範  ㄈㄤˊㄔㄠˊㄔㄨˊㄕˉㄍㄨㄟˉㄈㄢˋ
靜電防護區管制  ㄐㄧㄥˋㄉㄧㄢˋㄈㄤˊㄏㄨˋㄑㄩˉㄍㄨㄢˇㄓˋ
防靜電接地線  ㄈㄤˊㄐㄧㄥˋㄉㄧㄢˋㄐㄧㄝˉㄉㄧˋㄒㄧㄢˋ
導電地墊鋪設  ㄉㄠˇㄉㄧㄢˋㄉㄧˋㄉㄧㄢˋㄆㄨˋㄕㄜˋ
防靜電手環量測  ㄈㄤˊㄐㄧㄥˋㄉㄧㄢˋㄕㄡˇㄏㄨㄢˊㄌㄧㄤˋㄘㄜˋ
防靜電包裝袋  ㄈㄤˊㄐㄧㄥˋㄉㄧㄢˋㄅㄠˉㄓㄨㄤˉㄉㄞˋ
離子風扇除電  ㄌㄧˊ˙ㄗㄈㄥˉㄕㄢˋㄔㄨˊㄉㄧㄢˋ
溫濕度記錄器  ㄨㄣˉㄕˉㄉㄨˋㄐㄧˋㄌㄨˋㄑㄧˋ
無塵室潔淨度  ㄨˊㄔㄣˊㄕˋㄐㄧㄝˊㄐㄧㄥˋㄉㄨˋ
懸浮微粒計數  ㄒㄩㄢˊㄈㄨˊㄨㄟˊㄌㄧˋㄐㄧˋㄕㄨˋ
正壓環境維持  ㄓㄥˋㄧㄚˉㄏㄨㄢˊㄐㄧㄥˋㄨㄟˊㄔˊ
風淋室除塵規範  ㄈㄥˉㄌㄧㄣˊㄕˋㄔㄨˊㄔㄣˊㄍㄨㄟˉㄈㄢˋ
無塵衣著裝標準  ㄨˊㄔㄣˊㄧˉㄓㄨˋㄓㄨㄤˉㄅㄧㄠˉㄓㄨㄣˇ
超純水系統監控  ㄔㄠˉㄔㄨㄣˊㄕㄨㄟˇㄒㄧˋㄊㄨㄥˇㄐㄧㄢˉㄎㄨㄥˋ
廢水處理排放  ㄈㄟˋㄕㄨㄟˇㄔㄨˋㄌㄧˇㄆㄞˊㄈㄤˋ
廢氣洗滌塔  ㄈㄟˋㄑㄧˋㄒㄧˇㄉㄧˊㄊㄚˇ
廢棄物分類申報  ㄈㄟˋㄑㄧˋㄨˋㄈㄣˉㄌㄟˋㄕㄣˉㄅㄠˋ
資源回收追蹤  ㄗˉㄩㄢˊㄏㄨㄟˊㄕㄡˉㄓㄨㄟˉㄗㄨㄥˉ
碳排放申報作業  ㄊㄢˋㄆㄞˊㄈㄤˋㄕㄣˉㄅㄠˋㄗㄨㄛˋㄧㄝˋ
能源管理系統  ㄋㄥˊㄩㄢˊㄍㄨㄢˇㄌㄧˇㄒㄧˋㄊㄨㄥˇ
用電契約容量  ㄩㄥˋㄉㄧㄢˋㄑㄧˋㄩㄝˉㄖㄨㄥˊㄌㄧㄤˋ
需量反應抑制  ㄒㄩˉㄌㄧㄤˋㄈㄢˇㄧㄥˉㄧˋㄓˋ
綠建築評級  ㄌㄩˋㄐㄧㄢˋㄓㄨˋㄆㄧㄥˊㄐㄧˊ
職業安全衛生  ㄓˊㄧㄝˋㄢˉㄑㄩㄢˊㄨㄟˋㄕㄥˉ
安全防護用具  ㄢˉㄑㄩㄢˊㄈㄤˊㄏㄨˋㄩㄥˋㄐㄩˋ
局限空間作業  ㄐㄩˊㄒㄧㄢˋㄎㄨㄥˉㄐㄧㄢˉㄗㄨㄛˋㄧㄝˋ
高處作業防墜  ㄍㄠˉㄔㄨˋㄗㄨㄛˋㄧㄝˋㄈㄤˊㄓㄨㄟˋ
用火作業許可  ㄩㄥˋㄏㄨㄛˇㄗㄨㄛˋㄧㄝˋㄒㄩˇㄎㄜˇ
化學品危害標示  ㄏㄨㄚˋㄒㄩㄝˊㄆㄧㄣˇㄨㄟˊㄏㄞˋㄅㄧㄠˉㄕˋ
安全資料表備查  ㄢˉㄑㄩㄢˊㄗˉㄌㄧㄠˋㄅㄧㄠˇㄅㄟˋㄔㄚˊ
急救人員配置  ㄐㄧˊㄐㄧㄡˋㄖㄣˊㄩㄢˊㄆㄟˋㄓˋ
消防演練計畫  ㄒㄧㄠˉㄈㄤˊㄧㄢˇㄌㄧㄢˋㄐㄧˋㄏㄨㄚˋ
緊急應變疏散  ㄐㄧㄣˇㄐㄧˊㄧㄥˉㄅㄧㄢˋㄕㄨˉㄙㄢˋ
職災事故調查  ㄓˊㄗㄞˉㄕˋㄍㄨˋㄉㄧㄠˋㄔㄚˊ
復工審查作業  ㄈㄨˋㄍㄨㄥˉㄕㄣˇㄔㄚˊㄗㄨㄛˋㄧㄝˋ
健康檢查追蹤  ㄐㄧㄢˋㄎㄤˉㄐㄧㄢˇㄔㄚˊㄓㄨㄟˉㄗㄨㄥˉ
職業病預防措施  ㄓˊㄧㄝˋㄅㄧㄥˋㄩˋㄈㄤˊㄘㄨㄛˋㄕˉ
人因危害評估  ㄖㄣˊㄧㄣˉㄨㄟˊㄏㄞˋㄆㄧㄥˊㄍㄨˉ
輪班作息健康  ㄌㄨㄣˊㄅㄢˉㄗㄨㄛˋㄒㄧˊㄐㄧㄢˋㄎㄤˉ
職場心理健康  ㄓˊㄔㄤˇㄒㄧㄣˉㄌㄧˇㄐㄧㄢˋㄎㄤˉ
員工協助方案  ㄩㄢˊㄍㄨㄥˉㄒㄧㄝˊㄓㄨˋㄈㄤˉㄢˋ
職工福利委員會  ㄓˊㄍㄨㄥˉㄈㄨˊㄌㄧˋㄨㄟˇㄩㄢˊㄏㄨㄟˋ
福委會補助金  ㄈㄨˊㄨㄟˇㄏㄨㄟˋㄅㄨˇㄓㄨˋㄐㄧㄣˉ
三節禮券發放  ㄙㄢˉㄐㄧㄝˊㄌㄧˇㄑㄩㄢˋㄈㄚˉㄈㄤˋ
年終尾牙聚餐  ㄋㄧㄢˊㄓㄨㄥˉㄨㄟˇㄧㄚˊㄐㄩˋㄘㄢˉ
部門凝聚活動  ㄅㄨˋㄇㄣˊㄋㄧㄥˊㄐㄩˋㄏㄨㄛˊㄉㄨㄥˋ
員工旅遊補助  ㄩㄢˊㄍㄨㄥˉㄌㄩˇㄧㄡˊㄅㄨˇㄓㄨˋ
進修學費補助  ㄐㄧㄣˋㄒㄧㄡˉㄒㄩㄝˊㄈㄟˋㄅㄨˇㄓㄨˋ
專業證照獎勵  ㄓㄨㄢˉㄧㄝˋㄓㄥˋㄓㄠˋㄐㄧㄤˇㄌㄧˋ
績效考評作業  ㄐㄧˉㄒㄧㄠˋㄎㄠˇㄆㄧㄥˊㄗㄨㄛˋㄧㄝˋ
年度調薪機制  ㄋㄧㄢˊㄉㄨˋㄉㄧㄠˋㄒㄧㄣˉㄐㄧˉㄓˋ
升遷評議委員會  ㄕㄥˉㄑㄧㄢˉㄆㄧㄥˊㄧˋㄨㄟˇㄩㄢˊㄏㄨㄟˋ
人才梯隊建設  ㄖㄣˊㄘㄞˊㄊㄧˉㄉㄨㄟˋㄐㄧㄢˋㄕㄜˋ
關鍵職位接班  ㄍㄨㄢˉㄐㄧㄢˋㄓˊㄨㄟˋㄐㄧㄝˉㄅㄢˉ
內部轉調管道  ㄋㄟˋㄅㄨˋㄓㄨㄢˇㄉㄧㄠˋㄍㄨㄢˇㄉㄠˋ
員工離職訪談  ㄩㄢˊㄍㄨㄥˉㄌㄧˊㄓˊㄈㄤˇㄊㄢˊ
競業禁止補償  ㄐㄧㄥˋㄧㄝˋㄐㄧㄣˋㄓˇㄅㄨˇㄔㄤˊ
智財歸屬聲明  ㄓˋㄘㄞˊㄍㄨㄟˉㄕㄨˇㄕㄥˉㄇㄧㄥˊ
營業秘密保護  ㄧㄥˊㄧㄝˋㄇㄧˋㄇㄧˋㄅㄠˇㄏㄨˋ
機密文件分級  ㄐㄧˉㄇㄧˋㄨㄣˊㄐㄧㄢˋㄈㄣˉㄐㄧˊ
資訊上鎖原則  ㄗˉㄒㄩㄣˋㄕㄤˋㄙㄨㄛˇㄩㄢˊㄗㄜˊ
乾淨桌面政策  ㄑㄧㄢˊㄐㄧㄥˋㄓㄨㄛˉㄇㄧㄢˋㄓㄥˋㄘㄜˋ
門禁感應卡管制  ㄇㄣˊㄐㄧㄣˋㄍㄢˇㄧㄥˉㄎㄚˇㄍㄨㄢˇㄓˋ
訪客登記流程  ㄈㄤˇㄎㄜˋㄉㄥˉㄐㄧˋㄌㄧㄡˊㄔㄥˊ
保全巡邏巡檢  ㄅㄠˇㄑㄩㄢˊㄒㄩㄣˊㄌㄨㄛˊㄒㄩㄣˊㄐㄧㄢˇ
監控錄影調閱  ㄐㄧㄢˉㄎㄨㄥˋㄌㄨˋㄧㄥˇㄉㄧㄠˋㄩㄝˋ
資產盤點作業  ㄗˉㄔㄢˇㄆㄢˊㄉㄧㄢˇㄗㄨㄛˋㄧㄝˋ
固定資產標籤  ㄍㄨˋㄉㄧㄥˋㄗˉㄔㄢˇㄅㄧㄠˉㄑㄧㄢˉ
報廢除帳流程  ㄅㄠˋㄈㄟˋㄔㄨˊㄓㄤˋㄌㄧㄡˊㄔㄥˊ
折舊攤提計算  ㄓㄜˊㄐㄧㄡˋㄊㄢˉㄊㄧˊㄐㄧˋㄙㄨㄢˋ
租賃資產評估  ㄗㄨˉㄌㄧㄣˋㄗˉㄔㄢˇㄆㄧㄥˊㄍㄨˉ
資本支出審核  ㄗˉㄅㄣˇㄓˉㄔㄨˉㄕㄣˇㄏㄜˊ
營業費用預算  ㄧㄥˊㄧㄝˋㄈㄟˋㄩㄥˋㄩˋㄙㄨㄢˋ
預算編列作業  ㄩˋㄙㄨㄢˋㄅㄧㄢˉㄌㄧㄝˋㄗㄨㄛˋㄧㄝˋ
預算執行率分析  ㄩˋㄙㄨㄢˋㄓˊㄒㄧㄥˊㄌㄩˋㄈㄣˉㄒㄧˉ
成本中心歸屬  ㄔㄥˊㄅㄣˇㄓㄨㄥˉㄒㄧㄣˉㄍㄨㄟˉㄕㄨˇ
責任中心制度  ㄗㄜˊㄖㄣˋㄓㄨㄥˉㄒㄧㄣˉㄓˋㄉㄨˋ
利潤中心結算  ㄌㄧˋㄖㄨㄣˋㄓㄨㄥˉㄒㄧㄣˉㄐㄧㄝˊㄙㄨㄢˋ
內部轉移計價  ㄋㄟˋㄅㄨˋㄓㄨㄢˇㄧˊㄐㄧˋㄐㄧㄚˋ
跨國移轉訂價  ㄎㄨㄚˋㄍㄨㄛˊㄧˊㄓㄨㄢˇㄉㄧㄥˋㄐㄧㄚˋ
關稅申報作業  ㄍㄨㄢˉㄕㄨㄟˋㄕㄣˉㄅㄠˋㄗㄨㄛˋㄧㄝˋ
進出口通關  ㄐㄧㄣˋㄔㄨˉㄎㄡˇㄊㄨㄥˉㄍㄨㄢˉ
海關實地查驗  ㄏㄞˇㄍㄨㄢˉㄕˊㄉㄧˋㄔㄚˊㄧㄢˋ
保稅工廠管理  ㄅㄠˇㄕㄨㄟˋㄍㄨㄥˉㄔㄤˇㄍㄨㄢˇㄌㄧˇ
保稅料件盤點  ㄅㄠˇㄕㄨㄟˋㄌㄧㄠˋㄐㄧㄢˋㄆㄢˊㄉㄧㄢˇ
保稅產銷申報  ㄅㄠˇㄕㄨㄟˋㄔㄢˇㄒㄧㄠˉㄕㄣˉㄅㄠˋ
產地證明申請  ㄔㄢˇㄉㄧˋㄓㄥˋㄇㄧㄥˊㄕㄣˉㄑㄧㄥˇ
信用狀開狀  ㄒㄧㄣˋㄩㄥˋㄓㄨㄤˋㄎㄞˉㄓㄨㄤˋ
銀行承兌匯票  ㄧㄣˊㄒㄧㄥˊㄔㄥˊㄉㄨㄟˋㄏㄨㄟˋㄆㄧㄠˋ
遠期外匯避險  ㄩㄢˇㄑㄧˊㄨㄞˋㄏㄨㄟˋㄅㄧˋㄒㄧㄢˇ
即期外匯清算  ㄐㄧˊㄑㄧˉㄨㄞˋㄏㄨㄟˋㄑㄧㄥˉㄙㄨㄢˋ
匯率波動風險  ㄏㄨㄟˋㄌㄩˋㄅㄛˉㄉㄨㄥˋㄈㄥˉㄒㄧㄢˇ
進口報關單  ㄐㄧㄣˋㄎㄡˇㄅㄠˋㄍㄨㄢˉㄉㄢˉ
出口報單核對  ㄔㄨˉㄎㄡˇㄅㄠˋㄉㄢˉㄏㄜˊㄉㄨㄟˋ
船務訂艙作業  ㄔㄨㄢˊㄨˋㄉㄧㄥˋㄘㄤˉㄗㄨㄛˋㄧㄝˋ
海運提單確認  ㄏㄞˇㄩㄣˋㄊㄧˊㄉㄢˉㄑㄩㄝˋㄖㄣˋ
空運提單追蹤  ㄎㄨㄥˉㄩㄣˋㄊㄧˊㄉㄢˉㄓㄨㄟˉㄗㄨㄥˉ
貨運承攬服務  ㄏㄨㄛˋㄩㄣˋㄔㄥˊㄌㄢˇㄈㄨˊㄨˋ
保險批單加保  ㄅㄠˇㄒㄧㄢˇㄆㄧˉㄉㄢˉㄐㄧㄚˉㄅㄠˇ
海損共同分擔  ㄏㄞˇㄙㄨㄣˇㄍㄨㄥˋㄊㄨㄥˊㄈㄣˉㄉㄢˉ
貨物短少索賠  ㄏㄨㄛˋㄨˋㄉㄨㄢˇㄕㄠˇㄙㄨㄛˇㄆㄟˊ
延滯費計算  ㄧㄢˊㄓˋㄈㄟˋㄐㄧˋㄙㄨㄢˋ
滯箱費結算  ㄓˋㄒㄧㄤˉㄈㄟˋㄐㄧㄝˊㄙㄨㄢˋ
堆存費核銷  ㄉㄨㄟˉㄘㄨㄣˊㄈㄟˋㄏㄜˊㄒㄧㄠˉ
散裝貨運裝載  ㄙㄢˋㄓㄨㄤˉㄏㄨㄛˋㄩㄣˋㄓㄨㄤˉㄗㄞˋ
貨櫃整裝作業  ㄏㄨㄛˋㄍㄨㄟˋㄓㄥˇㄓㄨㄤˉㄗㄨㄛˋㄧㄝˋ
併箱裝運安排  ㄅㄧㄥˋㄒㄧㄤˉㄓㄨㄤˉㄩㄣˋㄢˉㄆㄞˊ
危險品申報書  ㄨㄟˊㄒㄧㄢˇㄆㄧㄣˇㄕㄣˉㄅㄠˋㄕㄨˉ
鋰電池航空運輸  ㄌㄧˇㄉㄧㄢˋㄔˊㄏㄤˊㄎㄨㄥˉㄩㄣˋㄕㄨˉ
安全認證標籤  ㄢˉㄑㄩㄢˊㄖㄣˋㄓㄥˋㄅㄧㄠˉㄑㄧㄢˉ
國際商務條款  ㄍㄨㄛˊㄐㄧˋㄕㄤˉㄨˋㄊㄧㄠˊㄎㄨㄢˇ
